FID,OBJECTID,NameInt,Seg_ID_Sco,Seg_Bk_Sco,Seg_LL_Sco,Seg_Wd_Sco,Ones,Twos,Threes,Pop2015,GridNormSc,CSScore,Shape_Leng,Shape_Area,GridScore,Shape__Area,Shape__Length
31,31,1068,0,1,0,0,13,1,0,663.742951091,1.6393442623,0.0576923074482,3665.68089131,390416.704626,1,2.6067753242e-05,0.031230007237577
32,32,1075,0,2,0,0,38,2,0,2908.35288041,3.27868852459,0.115384614896,6255.4159314,1531415.64442,1,0.000102256127219,0.050997858083173
33,33,1079,0,3,0,0,49,3,0,3455.54406482,4.91803278689,0.173076922345,5677.05630343,1967335.56502,1,0.000131368246363,0.047088406157218
34,34,109,0,1,1,0,3,1,0,156.618973026,1.6393442623,0.0576923074482,3012.52906105,437241.046871,1,2.9225747685e-05,0.024017280647358
35,35,1102,0,9,7,0,23,15,0,4309.8690312,24.5901639344,0.865384611723,9817.28410858,3246196.6081,1,0.000216817825495,0.076274316542638
36,36,1105,0,2,0,0,27,2,0,2356.65139142,3.27868852459,0.115384614896,6307.20798011,1972540.42093,1,0.000131740274162,0.05314343240603
37,37,1107,0,3,0,0,76,3,0,5815.4764387,4.91803278689,0.173076922345,7093.94688268,1828735.40419,1,0.000122159133648,0.058525159576923
38,38,1792,0,8,11,1,49,14,0,4086.28261166,22.9508196721,0.807692304275,6016.22913556,2066682.22527,1,0.000137896711635,0.050739663408077
39,39,1112,0,5,1,0,65,6,0,5373.34017048,9.83606557377,0.346153844689,8478.25336878,1948267.66995,1,0.000130143565346,0.069958248836514
40,40,1113,0,2,1,0,61,3,0,3815.31635672,4.91803278689,0.173076922345,8441.28636499,2129028.93402,1,0.000142205407681,0.067741282413526
41,41,1793,0,1,1,0,26,2,0,4251.7757458,3.27868852459,0.115384614896,4652.39458472,1239980.54771,1,8.2734338316e-05,0.037082670480199
42,42,1115,0,1,0,0,62,1,0,4514.4887857,1.6393442623,0.0576923074482,5327.75975142,1273833.60462,1,8.5083261583e-05,0.045516587265483
43,43,1794,0,2,5,0,54,5,0,6905.05361801,8.19672131148,0.288461537241,6681.28096406,2412034.40613,1,0.000160938351552,0.056112079273879
44,44,1531,0,5,0,0,45,5,0,4080.55051136,8.19672131148,0.288461537241,4946.02051669,1388408.48736,1,9.2695092366e-05,0.039894681364597
45,45,1469,0,1,0,0,49,1,0,4208.81591575,1.6393442623,0.0576923074482,9030.04432984,1325004.72537,1,8.866932586e-05,0.075961656788744
46,46,1532,0,9,3,0,43,10,0,6209.66392079,16.393442623,0.576923074482,6423.23064159,1866244.58446,1,0.000124588585063,0.050370997223401
47,47,441,0,1,0,0,7,1,0,809.011311684,1.6393442623,0.0576923074482,5088.2547987,1199193.44778,1,8.0171541303e-05,0.042227635477943
48,48,1979,0,6,0,0,26,6,0,2241.54314687,9.83606557377,0.346153844689,4082.91735389,831266.24001,1,5.5458947194e-05,0.033332878951594
49,49,146,0,0,3,0,4,3,0,750.18326252,4.91803278689,0.173076922345,919.983751141,53876.6875386,1,3.602439877e-06,0.007597432787392
50,50,562,0,1,0,0,79,1,0,3482.18162751,1.6393442623,0.0576923074482,4552.78642976,1103466.43464,1,7.4054486805e-05,0.036819177025816
51,51,241,0,3,2,0,7,5,0,4353.95960163,8.19672131148,0.288461537241,2090.36599843,249150.336744,1,1.6655494695e-05,0.016847218878218
52,52,1981,0,2,1,0,11,2,0,6645.30826615,3.27868852459,0.115384614896,4054.26933805,863463.651373,1,5.7611871301e-05,0.032007448166806
53,53,442,0,2,1,0,5,3,0,396.414035325,4.91803278689,0.173076922345,3948.13317409,580393.73514,1,3.8802837662e-05,0.033313168633793
54,54,1533,0,1,0,0,14,1,0,1618.30415403,1.6393442623,0.0576923074482,3586.31722408,417162.74819,1,2.7850871112e-05,0.028787590673168
55,55,1199,0,1,0,0,13,1,0,197.872887422,1.6393442623,0.0576923074482,1739.45980957,171751.849148,1,1.1479967853e-05,0.01402458272366
56,56,1998,0,12,3,0,30,15,0,5467.03817849,24.5901639344,0.865384611723,6837.44092079,2522819.74572,1,0.000168350058023,0.056623535252318
57,57,1215,0,18,12,9,36,29,0,5859.81759697,47.5409836066,1.673076916,4500.94408235,1156767.82798,3,7.7395954275e-05,0.03798931930295
58,58,1509,0,2,3,0,15,5,0,1997.87549336,8.19672131148,0.288461537241,2766.30096301,442117.25902,1,2.9507170887e-05,0.023292282831405
59,59,2183,0,3,0,0,113,3,0,5624.08117472,4.91803278689,0.173076922345,11212.9045701,4549641.24415,1,0.000303816224698,0.094318770598754
60,60,412,0,5,5,0,29,8,0,1832.20831556,13.1147540984,0.461538459586,5007.35355459,1080947.17203,1,7.2247681819e-05,0.040278464511404
61,61,1511,0,0,1,0,8,1,0,335.328740935,1.6393442623,0.0576923074482,4232.82482986,966786.400687,1,6.4523251063e-05,0.035895009164039
62,62,551,0,1,0,0,121,1,0,5452.25554103,1.6393442623,0.0576923074482,9929.05739635,2971406.67119,1,0.000199385990063,0.082007794724605
63,63,2185,0,8,0,0,70,8,0,3706.9802569,13.1147540984,0.461538459586,9543.92534718,3475789.05323,1,0.000232096618074,0.076925374905824
64,64,1952,0,6,1,0,15,7,0,1348.83428662,11.4754098361,0.403846152138,3036.61249478,527739.50828,1,3.5200443359e-05,0.024225976864939
65,65,1184,0,2,0,0,48,2,0,5527.79976995,3.27868852459,0.115384614896,5669.49093221,957278.94471,1,6.3981513644e-05,0.045532766882092
66,66,1512,0,3,5,0,21,6,0,3896.61621275,9.83606557377,0.346153844689,4810.03006628,928831.015169,1,6.1994909094e-05,0.0373185777148
67,67,413,0,2,2,0,12,3,0,1030.67818596,4.91803278689,0.173076922345,2232.90046958,187888.816022,1,1.255776722e-05,0.017551439298975
68,68,454,0,3,0,0,7,3,0,1252.38148698,4.91803278689,0.173076922345,1832.82820963,185431.3748,1,1.239890994e-05,0.014843136501395
69,69,265,0,4,7,0,3,10,0,3265.77732536,16.393442623,0.576923074482,1790.65604989,199896.41089,1,1.3364629569e-05,0.014703841202597
70,70,567,1,4,9,0,59,10,1,4045.91755696,18.0327868852,0.63461538193,5429.87654574,663907.26784,1,4.4557238181e-05,0.043086261086105
71,71,1485,0,1,0,0,17,1,0,1609.92710806,1.6393442623,0.0576923074482,4932.92754924,656013.593787,1,4.3909601721e-05,0.041298230124058
72,72,455,0,4,2,0,22,6,0,6149.85704155,9.83606557377,0.346153844689,3780.91290234,782660.278348,1,5.2329365464e-05,0.031228315342396
73,73,1116,0,5,0,0,23,5,0,3160.32380257,8.19672131148,0.288461537241,3838.22941147,727801.8132,1,4.8624325179e-05,0.032041153693465
74,74,1795,1,2,0,0,39,2,1,5273.75235385,4.91803278689,0.173076922345,7533.37669447,2792703.16063,1,0.000186338369963,0.06451436770618
75,75,1796,0,1,1,0,28,1,0,2217.08908235,1.6393442623,0.0576923074482,5156.88919892,1163037.11623,1,7.7597681138e-05,0.040185669979496
76,76,1117,0,1,0,1,64,2,0,5913.05549677,3.27868852459,0.115384614896,6865.51533258,2290468.5761,1,0.000153000301337,0.057215418907316
77,77,1797,0,1,0,0,71,1,0,3290.9918892,1.6393442623,0.0576923074482,6698.10540559,2649884.80522,1,0.00017680209714,0.054228078534357
78,78,1798,0,1,3,0,30,3,0,2451.5049982,4.91803278689,0.173076922345,4628.18572645,1305853.19545,1,8.7123417688e-05,0.038539087878167
79,79,1118,0,2,0,0,27,2,0,3432.56227631,3.27868852459,0.115384614896,3614.22471164,550604.259191,1,3.6786436287e-05,0.028707442735625
80,80,1799,1,3,1,0,20,3,1,2007.0309049,6.55737704918,0.230769229793,4585.18611661,1257875.68909,1,8.3929571909e-05,0.038287743693879
81,81,1119,0,3,0,0,77,3,0,4039.47855096,4.91803278689,0.173076922345,6521.97390955,1600667.88203,1,0.000106915894215,0.054520021725405
82,82,1801,0,13,16,4,19,26,0,5441.68016835,42.6229508197,1.49999999365,4424.75470553,1211552.77711,2,8.1096344348e-05,0.036022201729011
83,83,1802,1,19,21,6,57,33,2,5803.52470691,57.3770491803,2.01923076069,4642.5712306,1342870.67886,3,8.9885706734e-05,0.038347806336797
84,84,111,0,0,2,0,68,2,0,5506.44000419,3.27868852459,0.115384614896,5233.63840442,1456264.5856,1,9.7355027081e-05,0.04281045751127
85,85,1803,0,2,4,0,13,4,0,1273.09326425,6.55737704918,0.230769229793,2437.61381621,356513.93223,1,2.3862791677e-05,0.020402543012452
86,86,1804,4,8,9,6,23,13,5,2312.35348971,29.5081967213,1.03846153407,3026.73864526,501316.084531,2,3.3554923042e-05,0.025692819993678
87,87,1805,0,7,6,7,16,16,1,1745.23332577,27.868852459,0.98076922662,2670.5582688,441906.553934,1,2.9579850561e-05,0.022134771619573
88,88,1806,0,14,11,10,24,22,2,2506.26329326,39.3442622951,1.38461537876,3251.48796324,606674.42134,3,4.0608869267e-05,0.027367238691515
89,89,1123,0,5,0,0,31,5,0,3823.16767185,8.19672131148,0.288461537241,4715.58069052,1375745.45612,1,9.190789375e-05,0.038155794004584
90,90,1124,2,7,1,0,25,7,2,5937.52812506,14.7540983607,0.519230767034,6653.8080571,1568969.31113,1,0.000104819708381,0.055314193951391
91,91,1821,0,4,1,0,43,5,0,5722.73350712,8.19672131148,0.288461537241,4322.11053047,1160961.83621,1,7.7718085134e-05,0.035269358944567
92,92,1125,0,2,1,0,31,3,0,4230.85934836,4.91803278689,0.173076922345,4850.55240174,1068534.43586,1,7.1382936089e-05,0.040451585115957
93,93,1822,0,20,12,1,84,30,0,6448.14795477,49.1803278689,1.73076922345,5125.86185714,1638392.4657,3,0.000109678310738,0.041934696774798
94,94,1126,0,3,0,0,40,3,0,4954.75193481,4.91803278689,0.173076922345,4728.29302379,1305344.50806,1,8.7201733839e-05,0.037622206360157
95,95,1823,4,17,8,0,70,21,4,4554.47646709,40.9836065574,1.44230768621,4151.51542448,981778.22348,3,6.5722798911e-05,0.03316557567951
96,96,1127,0,7,0,0,28,7,0,4557.60353101,11.4754098361,0.403846152138,4892.49807215,783855.402139,1,5.2366455749e-05,0.040559747652086
97,97,1128,0,2,0,0,68,2,0,4545.77188224,3.27868852459,0.115384614896,6427.31386256,1409538.09942,1,9.4163682274e-05,0.051206843169071
98,98,1824,1,7,14,4,79,22,1,5197.58055864,37.7049180328,1.32692307131,5510.65464508,1743566.85404,2,0.000116718853858,0.044884710365041
99,99,1129,0,1,0,0,63,1,0,6251.30228756,1.6393442623,0.0576923074482,6484.94868441,1877280.33425,1,0.000125415260592,0.052778078612038
100,100,1132,0,4,0,0,73,4,0,5847.98981738,6.55737704918,0.230769229793,7465.84144425,2393423.19747,1,0.000159906615008,0.062575957336968
101,101,1133,1,0,0,0,39,0,1,7610.4543317,1.6393442623,0.0576923074482,9169.12025951,2766302.15079,1,0.000184822811223,0.075814833094847
102,102,1826,2,10,5,1,30,10,2,3280.9724799,19.6721311475,0.692307689379,4249.18843145,924880.27981,1,6.1912736963e-05,0.033648069294746
103,103,1135,0,0,2,0,147,2,0,6214.36929524,3.27868852459,0.115384614896,11557.7639214,3967271.98876,1,0.00026504967008,0.095594593408278
104,104,1827,2,16,4,2,26,17,2,5648.39362926,31.1475409836,1.09615384152,4785.68496348,1192712.64021,3,7.9841681304e-05,0.038841975592558
105,105,1136,0,3,0,0,69,3,0,8036.05065451,4.91803278689,0.173076922345,8593.84828559,2587789.48237,1,0.000172884531368,0.070705524554007
106,106,1829,0,0,1,0,10,1,0,1543.6309643,1.6393442623,0.0576923074482,3888.08897818,434142.41266,1,2.9063142233e-05,0.03286957579786
107,107,1137,0,2,0,0,33,2,0,4230.54172009,3.27868852459,0.115384614896,3379.51149057,627834.87374,1,4.1947890773e-05,0.02844433780976
108,108,1138,0,2,0,0,43,2,0,4146.26323185,3.27868852459,0.115384614896,3481.05486953,751091.36879,1,5.0180505095e-05,0.028635132535958
109,109,1831,3,2,1,2,46,4,3,2642.3980513,11.4754098361,0.403846152138,4239.51373435,1036405.52096,1,6.9401587497e-05,0.035078924747581
110,110,1139,0,5,0,0,43,5,0,4113.05524811,8.19672131148,0.288461537241,4472.32589406,793729.79482,1,5.3032801982e-05,0.036689212026702
111,111,1832,0,7,6,0,35,11,0,2934.22943796,18.0327868852,0.63461538193,3890.34717602,714474.5682,1,4.7832644338e-05,0.033451556834244
112,112,1141,0,1,0,0,37,1,0,7138.94385235,1.6393442623,0.0576923074482,7350.17868198,2002522.14631,1,0.000133797532672,0.059596585889139
113,113,1834,4,5,4,0,31,5,4,4239.66706645,14.7540983607,0.519230767034,4962.94574861,936222.77211,1,6.2678486185e-05,0.042086376936947
114,114,1142,0,4,0,0,32,4,0,6576.46396675,6.55737704918,0.230769229793,6003.26951693,1486553.67625,1,9.9323232967e-05,0.047273778577534
115,115,1835,0,1,4,0,16,5,0,898.686080833,8.19672131148,0.288461537241,2302.70217466,330893.80652,1,2.2152434586e-05,0.018857305722083
116,116,1836,0,1,5,0,26,5,0,2032.18344268,8.19672131148,0.288461537241,3863.7622025,608133.07322,1,4.0714151068e-05,0.031480508469838
117,117,1837,3,13,4,0,47,16,3,4851.15356024,31.1475409836,1.09615384152,5294.69552466,1477151.60691,2,9.8896762855e-05,0.041907263140486
118,118,1838,0,13,14,2,23,19,0,2432.04413383,31.1475409836,1.09615384152,2970.71767937,505157.07077,2,3.3819369739e-05,0.023845086454458
119,119,1839,0,9,14,2,23,17,0,2687.04509314,27.868852459,0.98076922662,3201.91166698,575057.26394,1,3.8499475699e-05,0.025242203343805
120,120,1841,0,3,8,4,50,13,0,4813.4998564,21.3114754098,0.749999996827,5061.57394067,1534544.04585,1,0.000102738813995,0.040806004491916
121,121,1145,0,1,1,0,84,2,0,3709.57283493,3.27868852459,0.115384614896,8983.92385635,2566513.18218,1,0.000171494701314,0.073358427746995
122,122,1842,2,12,23,1,51,28,2,6159.85110292,49.1803278689,1.73076922345,4839.39082027,1418238.04291,2,9.4954279604e-05,0.040519553945206
123,123,1844,0,11,1,0,45,12,0,5190.14714897,19.6721311475,0.692307689379,5256.34905727,1561522.53592,1,0.000104547721822,0.044253589605871
124,124,1846,1,0,4,0,19,3,1,4335.90815913,6.55737704918,0.230769229793,3379.37223264,698701.754776,1,4.6780947499e-05,0.027886243167134
125,125,1849,3,4,9,0,27,9,3,4398.19901478,19.6721311475,0.692307689379,3930.91573045,870733.99689,1,5.8298857562e-05,0.032210688011369
126,126,1851,1,9,2,2,44,11,1,2541.70120157,19.6721311475,0.692307689379,4048.70307631,1023106.91863,1,6.8516928817e-05,0.033390508417901
127,127,185,0,0,3,0,32,3,0,498.198667854,4.91803278689,0.173076922345,3151.57566326,596120.286538,1,3.9862643119e-05,0.025852578234409
128,128,1861,0,6,12,2,22,18,0,2691.82914919,29.5081967213,1.03846153407,3964.18450936,982080.28521,2,6.5758165453e-05,0.03262464474887
129,129,1862,1,12,8,1,38,19,1,4163.88647983,32.7868852459,1.15384614896,5223.62798997,1524697.60737,2,0.000102091034716,0.043367911145864
130,130,1147,0,0,0,1,67,1,0,4861.19746646,1.6393442623,0.0576923074482,7868.92035905,2238576.69558,1,0.000149583290023,0.065705477908422
131,131,1363,1,8,9,0,22,12,1,4558.25719812,21.3114754098,0.749999996827,3280.52277183,650276.941665,1,4.3504970681e-05,0.027421046383268
132,132,1148,1,9,0,0,104,8,1,4756.14251192,14.7540983607,0.519230767034,9229.97395824,3169554.04903,1,0.000211783129887,0.075394629517389
133,133,1364,2,12,13,1,9,17,2,4243.43807229,31.1475409836,1.09615384152,3409.83963967,592111.726334,2,3.9613084794e-05,0.02688611158599
134,134,1149,0,4,1,0,39,5,0,5113.6092053,8.19672131148,0.288461537241,3803.11512896,662881.762262,1,4.4291198193e-05,0.031366797602583
135,135,1365,6,19,21,2,10,25,7,4574.76906163,52.4590163934,1.84615383834,3407.86780772,591030.105358,3,3.9540725624e-05,0.02686887600586
136,136,1367,1,5,6,0,27,9,1,5755.87435042,16.393442623,0.576923074482,4468.26965032,1231566.31747,1,8.2393514487e-05,0.036353543312726
137,137,1151,0,2,2,0,25,4,0,5924.81419238,6.55737704918,0.230769229793,3665.97548724,836133.7006,1,5.5873066356e-05,0.030279299146539
138,138,1371,0,5,3,2,15,7,1,3391.98640035,13.1147540984,0.461538459586,3218.23460012,629158.61324,1,4.2095015505e-05,0.026205713776448
139,139,1863,0,11,2,0,6,11,0,3267.77803039,18.0327868852,0.63461538193,3796.13543829,877199.78964,1,5.8735756976e-05,0.030805720058396
140,140,1372,2,6,7,0,8,9,2,3890.24413289,18.0327868852,0.63461538193,3569.21380412,789624.708906,1,5.2831396267e-05,0.029574234964608
141,141,1152,1,1,0,0,27,1,1,3775.62505365,3.27868852459,0.115384614896,4076.40326774,850947.27608,1,5.6862574983e-05,0.034556650853216
142,142,1373,1,5,8,0,15,11,1,4613.5169886,19.6721311475,0.692307689379,3724.66699661,851191.798835,1,5.6950469832e-05,0.030776329877594
143,143,1375,2,18,13,5,11,23,2,4335.1270107,40.9836065574,1.44230768621,3368.46618298,693231.75197,3,4.6382088364e-05,0.028061435013797
144,144,1864,0,5,0,0,32,5,0,2689.59335135,8.19672131148,0.288461537241,4040.38769731,990444.94571,1,6.6318527271e-05,0.033070866950743
145,145,1377,0,12,22,4,25,31,0,3372.07978795,50.8196721311,1.78846153089,3557.48866621,757213.841995,2,5.0662985309e-05,0.029782427729394
146,146,1871,0,4,2,0,41,6,0,3920.8970816,9.83606557377,0.346153844689,5856.67813483,1898891.16201,1,0.000127183295487,0.046774915800488
147,147,1381,1,3,5,0,7,7,1,418.110122002,13.1147540984,0.461538459586,2070.78263247,193233.301042,1,1.2929569057e-05,0.016174086650132
148,148,1881,3,10,2,2,42,10,3,4797.6717238,21.3114754098,0.749999996827,5725.98953108,1816913.48811,1,0.000121712011499,0.045562403195267
149,149,1383,0,16,17,0,32,26,0,4505.32771749,42.6229508197,1.49999999365,3730.45329164,885608.7804,3,5.9257892339e-05,0.030734134479694
150,150,1891,0,3,0,0,33,3,0,3511.97499673,4.91803278689,0.173076922345,4517.91914309,1178630.60157,1,7.896517891e-05,0.036860461101628
151,151,1385,1,8,12,0,11,17,1,2787.72143706,29.5081967213,1.03846153407,4928.96028888,1423542.23614,2,9.5252243818e-05,0.041357325461247
152,152,1158,0,1,0,0,52,1,0,3425.67059362,1.6393442623,0.0576923074482,6331.41248385,1759322.44105,1,0.000117568216861,0.052232430998213
153,153,1901,0,1,0,0,31,1,0,1105.91001902,1.6393442623,0.0576923074482,11782.8566772,5965852.42594,1,0.000397581866087,0.099032164011557
154,154,138,0,0,9,0,18,9,0,1784.62462937,14.7540983607,0.519230767034,2799.10045901,412274.375269,1,2.7566249262e-05,0.02310064053634
155,155,1391,0,9,7,7,23,18,0,1022.11717695,29.5081967213,1.03846153407,2837.52420927,313771.872273,2,2.0996817074e-05,0.021943369729755
156,156,1902,0,8,0,0,82,8,0,6514.94903932,13.1147540984,0.461538459586,9913.92537487,4561011.95459,1,0.000303986986114,0.08190264008744
157,157,1393,0,5,11,2,19,15,0,2915.54525874,24.5901639344,0.865384611723,3047.81055217,505045.968702,1,3.3796542993e-05,0.024198339112847
158,158,1161,0,2,0,0,4,2,0,2741.02654542,3.27868852459,0.115384614896,2181.72783409,294339.431615,1,1.9669960139e-05,0.017742785571415
159,159,1394,1,5,6,0,4,8,1,3186.65518559,14.7540983607,0.519230767034,3051.02480294,506438.55755,1,3.3889723637e-05,0.02422566496736
160,160,1395,0,7,14,0,1,16,0,3570.66950132,26.2295081967,0.923076919172,4969.89210783,1457441.35208,1,9.7528845792e-05,0.041532710015049
161,161,1904,0,7,0,0,52,7,0,3985.81014777,11.4754098361,0.403846152138,7394.01988031,2370680.88112,1,0.000157995848714,0.061859767902293
162,162,1905,0,4,0,0,16,4,0,2763.04740993,6.55737704918,0.230769229793,4085.77628402,1041166.87532,1,6.939519388e-05,0.033657388414717
163,163,1163,0,5,1,0,6,5,0,3676.59054538,8.19672131148,0.288461537241,2207.85653278,299841.782978,1,2.0037645976e-05,0.017916138036772
164,501,769,0,1,0,0,11,1,0,2778.03837082,1.6393442623,0.0576923074482,2281.4369536,325509.689497,1,2.1765232822e-05,0.018957965037016
165,164,1162,0,3,2,0,29,5,0,6312.46842047,8.19672131148,0.288461537241,4423.35507061,1012076.12124,1,6.7632996879e-05,0.036248422226039
166,165,1169,0,2,0,0,17,2,0,3867.64266088,3.27868852459,0.115384614896,3806.08914586,442521.045882,1,2.9568743018e-05,0.031435397329973
167,166,1402,0,0,0,1,34,1,0,1933.57271812,1.6393442623,0.0576923074482,4141.94000121,1017016.46799,1,6.8017469264e-05,0.034845556141995
168,167,1441,0,0,0,1,120,1,0,4334.1129672,1.6393442623,0.0576923074482,5075.59876079,1332137.92472,1,8.9137849585e-05,0.042889849050178
169,168,216,0,5,4,0,34,8,0,5866.88851014,13.1147540984,0.461538459586,3581.67855863,703645.104408,1,4.703303752e-05,0.029152470948608
170,169,1503,0,8,3,0,36,11,0,4553.85864788,18.0327868852,0.63461538193,6540.26437451,1939051.75672,1,0.000129417818531,0.05129058153757
171,170,1935,0,4,0,0,34,4,0,1174.11992829,6.55737704918,0.230769229793,5789.88771402,1758077.69068,1,0.000117234484095,0.048680197808638
172,171,404,0,3,0,0,32,3,0,2384.17338611,4.91803278689,0.173076922345,6460.62526089,1305471.46973,1,8.7228433326e-05,0.052749057712284
173,172,1443,1,7,2,2,70,10,1,4116.83996099,18.0327868852,0.63461538193,6102.23427864,1130749.20173,1,7.5653542649e-05,0.052040377674121
174,173,2172,0,2,0,1,54,3,0,2508.24387719,4.91803278689,0.173076922345,10100.701424,2694606.39887,1,0.000179916358216,0.085383014891956
175,174,1181,0,1,2,0,41,3,0,3959.32451168,4.91803278689,0.173076922345,4116.35510534,773178.42574,1,5.1676990713e-05,0.034490450730706
176,175,1504,1,6,4,0,9,5,1,3874.37237071,9.83606557377,0.346153844689,4115.79090409,1041895.04526,1,6.9535479679e-05,0.033560435915642
177,176,238,0,1,0,0,59,1,0,3821.66070531,1.6393442623,0.0576923074482,3299.99252251,617976.963205,1,4.1311999019e-05,0.026589846911927
178,177,1975,1,0,0,0,12,0,1,734.657318435,1.6393442623,0.0576923074482,2639.38699078,294597.421832,1,1.9654321039e-05,0.022686438978322
179,178,439,0,2,0,0,62,2,0,3607.19569635,3.27868852459,0.115384614896,7829.38813311,2473829.10051,1,0.000165369769929,0.065715158904332
180,179,1496,0,0,1,0,6,1,0,0.552612880538,1.6393442623,0.0576923074482,3234.51054461,508712.425239,1,3.4054435402e-05,0.027569053353169
181,180,1906,0,3,0,0,53,3,0,3783.85394083,4.91803278689,0.173076922345,6900.55224175,2042706.11347,1,0.000136136778489,0.057180584846498
182,181,1171,0,0,0,1,55,1,0,5378.38021023,1.6393442623,0.0576923074482,6180.29207,1510324.27438,1,0.000100933029587,0.051117560049843
183,182,1406,0,5,0,0,41,5,0,7628.91595389,8.19672131148,0.288461537241,5091.90886994,815901.261559,1,5.4570268049e-05,0.041014586985414
